ツイートID,ツイート時刻,ツイート内容,いいね数,リツイート数,ID,ユーザID,アカウント名,自己紹介文,フォロー数,フォロワー数,アカウント作成日時,自分がフォローしているか？,アイコン画像URL,ヘッダー画像URL,WEBサイト
1546315235610750976,2022-07-11_11:07:35,RT @nikkei_daigaku: ESGの波が大学の経営や教育現場でも広がってきました。学校法人立命館は社会的問題の解決を目指す企業を支援する「インパクト投資」を加速。上智大はりそなアセットマネジメントと連携しESGに関する講義を始めました。「大学×ESG」の潮流は一段と…,0,4,1327862748999368704,EsgAngela,Yumi,金融機関勤務/ESG・責任投資に関わる仕事をしています。レポートのネタが浮かぶよう、つぶやきます。,4922,1463,2020-11-15_15:35:36,False,http://pbs.twimg.com/profile_images/1333789288878596100/nK-AAmE0_normal.jpg,,
1546309052334239744,2022-07-11_10:43:01,"7/8 逆日歩日数 1日

1431 Lib　Work 0.05円
1486 上場インデックスファンド米国債券(H無) 5.00円
1487 上場インデックスファンド米国債券(H有) 5.00円
1492 MAXIS JPX日経中… https://t.co/kREP1Ymyq5",0,0,911063659392073729,gyakuhibu,逆日歩速報,"逆日歩情報をひたすらつぶやきます。 
@karauriNET 空売情報
@gyakuhibu 逆日歩情報",1,6267,2017-09-22_12:04:37,False,http://pbs.twimg.com/profile_images/1037369394450423809/CVoYcnhM_normal.jpg,,https://t.co/hLabl0984t
1546308937573888000,2022-07-11_10:42:34,独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG - 東洋経済オンライン https://t.co/8VEGX1TRok #東洋経済オンライン… https://t.co/9bceTyfGBL,3,0,288820893,CSRToyokeizai,CSR東洋経済,東洋経済CSR調査担当です。,60,631,2011-04-27_23:38:39,False,http://pbs.twimg.com/profile_images/1635000779/CSR_eng_4C_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/LEzGYLzDcx
1546308623324028928,2022-07-11_10:41:19,独自評価!｢SDGs企業ランキング｣トップ500社 ESG＋Hの非財務情報から評価､トップはオムロン | 特集 - 東洋経済オンライン https://t.co/x2wF4W8J8t #東洋経済オンライン @Toyokeizaiよ… https://t.co/UJs1DaEFeN,3,0,288820893,CSRToyokeizai,CSR東洋経済,東洋経済CSR調査担当です。,60,631,2011-04-27_23:38:39,False,http://pbs.twimg.com/profile_images/1635000779/CSR_eng_4C_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/LEzGYLzDcx
1546306499806642176,2022-07-11_10:32:53,緩やかに広がる“ウッド・チェンジ”：日経ESG https://t.co/WXxYJYecUZ,0,0,1227139992889151489,asakarapan00,アサカラ/昔の林業写真帳,少しだけ森林・林業関係の人（どっかの業界誌に今も連載をしているらしい）。古い林業の写真や資料を集めるのと、歩くのが趣味。昭和の生まれ。「昔」の定義は昭和40年代以前という主観的なものらしい。色々と勉強中。アサカラ・パンタベル。納豆と蕎麦も食べます。ブログとtwitterは2020年2月からの開始です。,42,1296,2020-02-11_17:00:29,False,http://pbs.twimg.com/profile_images/1507350815232577536/__HpMhZR_normal.jpg,,https://t.co/dVFWbwZzzf
1546301611227889664,2022-07-11_10:13:27,独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG - 東洋経済オンライン https://t.co/Jgw3ViWCwq #東洋経済オンライン @Toyokeizaiより,6,0,1249902880833687553,refes_jp,リフェス@ファクトリーデザイナー,ニットデザイナー | ニット製造業10年 | 自営業 | サステナブルに興味を持ちファクトリーブランド【Re:fes】立ち上げ準備中。➡️地球を守り、未来を守る 。私達ができるサステナブルファッションへの取り組みを考え、実行していきます。,1204,1123,2020-04-14_12:30:56,False,http://pbs.twimg.com/profile_images/1453575463796838402/R17uN8Mv_normal.jpg,,https://t.co/XRgH5Xzx1r
1546299946902913026,2022-07-11_10:06:50,"SDGs（持続可能な開発目標）を積極的に推進している会社を探すために、企業のSDGsの達成度をESG＋Hの非財務情報を使って可視化しました。
https://t.co/RV8l70VgQt",11,0,55246062,Toyokeizai,東洋経済オンライン,東洋経済オンライン[https://t.co/1KxFup7zp6]の公式アカウント。ビジネス、経済、就職などに役立つ記事・情報を配信しています。質問・意見はこちらへ[https://t.co/xVu8nPcyDb],0,583810,2009-07-09_23:13:22,False,http://pbs.twimg.com/profile_images/1519573117709869058/d3X70Fjp_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/1KxFup7zp6
1546299273934827522,2022-07-11_10:04:10,独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG | 東洋経済オンライン https://t.co/L7PfiIDw3U,0,0,108641893,yuria2122,株式情報市場,"国内外の最新経済ニュースや情報を提供。
 DAISUKE～! jp⇒https://t.co/jTOcsOP5d3
HUMAN 24⇒https://t.co/4lJxfyyHJA
#投資情報 #マーケット #経済 #ビジネス #国際 #株式 #投資 #仮想通貨",3454,15010,2010-01-27_01:01:08,False,http://pbs.twimg.com/profile_images/643657244857372672/yMfvs2gC_normal.jpg,http://abs.twimg.com/images/themes/theme8/bg.gif,http://t.co/SiT4FHCfci
1546298429793456128,2022-07-11_10:00:49,独自評価!｢SDGs企業ランキング｣トップ500社 ESG＋Hの非財務情報から評価､トップはオムロン | 特集 - 東洋経済オンライン https://t.co/i1yOiN8gZ3 #東洋経済オンライン @Toyokeizaiより,0,0,1450666123989381125,tamata_tamakin,新猫型,"えっととくにないですが政治NG
目標は推進で後退とかないです",151,30,2021-10-20_12:32:37,False,http://pbs.twimg.com/profile_images/1450667288458268679/lIIMF0kL_normal.jpg,,
1546298319458140162,2022-07-11_10:00:22,"【フランス】ミシュラン、インディテックス等17団体、プラ複合材リサイクルで官民連携団体発足
https://t.co/vfwyboK4TU #ESG #Sustainability #SDGs",0,0,2166373754,SustainableJPN,SustainableJapan,サステナビリティ/ESGニュースサイトSustainable Japan公式。編集長・夫馬賢治@KenjiFuma（環境省、厚労省、農水省の委員）『超入門カーボンニュートラル』https://t.co/0KARQaoWnD『ESG思考』https://t.co/fdP3hhANdc『データでわかる2030年地球のすがた』https://t.co/b3tvTAUK5k,41,5091,2013-10-31_18:56:09,False,http://pbs.twimg.com/profile_images/488587881301024768/ulMuq1n2_normal.png,http://abs.twimg.com/images/themes/theme3/bg.gif,https://t.co/9l1G7ZouxP
1546297813319172097,2022-07-11_09:58:22,"#dポイント投資 【ドル円仲値確定】
新興国：+0.18%⤴️
コミュニケーション：-0.22%⤵️
生活必需品：-0.01%⤵️
ヘルスケア：+0.41%⤴️
米国大型株：+0.22%⤴️
金（ゴールド）：+0.36%⤴️
クリ… https://t.co/BORoP1FoZT",17,0,1277231700582400005,d_point_inv,やな🏝️dポイント投資,dポイント投資のテーマ運用の変動値を計算してツイートしています。朝5:30頃にETF終値で計算した概算値、10:00頃にドル円仲値で計算した確定値をツイートします。2018年10月以来これまでの合計損益は約26万ポイントのプラス。現在は約52万ポイントを運用中。,14,1360,2020-06-28_22:25:52,False,http://pbs.twimg.com/profile_images/1277931881120460800/Tdoj-rVo_normal.png,,https://t.co/QKJql7s0Wo
1546295535094595584,2022-07-11_09:49:19,ESG経営に取り組むメリット https://t.co/B30g3aNksf https://t.co/cWpBmr0MAZ,1,0,2896739418,primal_colors,荒川 明夫 (AKI)│プライマルカラーズ代表│DX推進アドバイザー,#デジタルトランスフォーメーション( #DX )  コンサル ＃マーケティング ＃広報│東京在住パラレルワーカー│経営者│政府機関広報│メンタルケア心理士│エニアグラムタイプ4│起業・副業支援│note毎日更新│✉お気軽にどうぞ😉 ※コメントは、個人の見解です,2001,2745,2014-11-12_01:58:23,False,http://pbs.twimg.com/profile_images/1410844916876406784/cJm7UK7V_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/yJjopw1rwf
1546294990698975233,2022-07-11_09:47:09,"メモ
 https://t.co/C7J27Je10K",0,0,1389604015642615812,Epineph_ESG,Epinephrine,,464,593,2021-05-05_00:33:32,False,http://pbs.twimg.com/profile_images/1389636463092846594/DSLQ3WpF_normal.jpg,,
1546294651912499200,2022-07-11_09:45:48,"社内への発信が中心の最近だったので、久しぶりにnoteに書きました！
Web3とESG（SX）の潮流｜高木良和@ポジティブビジネスハック @yoyoyoTKG6 #note https://t.co/dQyPCZTE2D",0,0,147618482,yoyoyoTKG6,高木 良和,株式会社OPTにてメディア戦略の責任者を行った後、親会社デジタルホールディングスの戦略担当に。生きていく中で培ってきた持論をアウトプットしていきたく、Twitterを活用。仕事もプライベートも楽しくする為、ポジティブで誠実である事と内省を意識。マジックが趣味。大学で心理学学んでました。社会人大学院の至善館でMBO修了。,181,199,2010-05-25_01:12:10,False,http://pbs.twimg.com/profile_images/1045188809900535810/5eVybHS8_normal.jpg,http://abs.twimg.com/images/themes/theme7/bg.gif,
1546292990032785408,2022-07-11_09:39:12,独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG - 東洋経済オンライン https://t.co/Np9Un3WCJP #東洋経済オンライン @Toyokeizaiより,0,0,108321637,Mitsunobu3,安藤光展／サステナコンサル,サステナビリティ経営の専門家。サステナビリティ／CSR／SDGs／ESGについて毎日ツイートするのでフォローしてください。近著『創発型責任経営』（日本経済新聞出版）。2009年よりブログ『サステナビリティのその先へ』運営。1981年長野県中野市生まれ。ワイン好きで日本ソムリエ協会・正会員（2016年入会）。,60,3459,2010-01-26_00:32:52,False,http://pbs.twimg.com/profile_images/571466642488455168/djK01VAf_normal.jpeg,http://abs.twimg.com/images/themes/theme16/bg.gif,https://t.co/JkvuTGl71W
1546292853823139840,2022-07-11_09:38:39,"デイトレ速報 : 独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG | 東洋経済オンライン
https://t.co/SSSZ2IrIWd",0,0,1054587039734059008,chouruonna,株で兆る女,株で億を稼ぐのではなく兆を目指す,901,1173,2018-10-23_13:15:18,False,http://pbs.twimg.com/profile_images/1054909298755624961/K_o0fxld_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546292781831712768,2022-07-11_09:38:22,"独自評価!｢SDGs企業ランキング｣トップ500社　ESG＋Hの非財務情報から評価､トップはオムロン
https://t.co/5gHQ9uULV1",1,0,900208022764564484,SustainaJapan,サステナ - SUSTAINA® 10th Anniversary,サステナビリティに特化した企業評価サイト SUSTAINA 公式アカウント。サイトの更新情報の他、自社ツール SUSTAINAアラートで自動収集した ESG、SDGs、経営・投資リスクなどに関する最新情報を”厳選”しシェアしています,77,1507,2017-08-23_13:08:12,False,http://pbs.twimg.com/profile_images/961763807142952960/-ZsXxZgo_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/RN9SWccSF0
1546292141995040768,2022-07-11_09:35:50,"【速報】就職・転職情報 | 東洋経済オンライン 

#業界研究 #企業研究 
#時事ニュース #企業ランキング 

独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・… https://t.co/0azyEltxIH",0,0,1196780653435478016,ShukatsuJ,就活まとめ情報@相互フォロー,"就活に役立つ情報を呟きます！
TLで気軽に情報収集しましょう！
ぜひ友達や後輩とシェアしてください！
#就活 #就職活動 #企業研究 #業界研究 #企業ランキング #就活ノウハウ #時事問題 #内定 #内々定 #相互フォロー #フォローバック #リフォロー #follow  #followback #refollow",833,744,2019-11-19_22:22:10,False,http://pbs.twimg.com/profile_images/1196824093133131776/3_H0Gewe_normal.jpg,,
1546291695574142976,2022-07-11_09:34:03,独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG | 東洋経済オンラインhttps://t.co/aX0p5VFDOU,0,0,76864586,NEWS_0,NEWS,普通のニュースからアイドル、2チャンネルにおける刺激的な話題までいろいろ。ネットの海から今旬な話題を寄せ集めて紹介しています。日本テレビ系列のニュース番組「NEWS ZERO」とは無関係、DMやリプライには回答しません。,82242,73633,2009-09-24_14:26:25,False,http://pbs.twimg.com/profile_images/1812111535/news_logo2_normal.jpg,http://abs.twimg.com/images/themes/theme20/bg.png,
1546291034875109376,2022-07-11_09:31:26,"【SDGs 関連記事紹介：ESGを実践レベルで理解するために必要なひとつのこと(ダイヤモンド・オンライン)】
#Yahooニュース #SDGs  #佐賀SDGs官民連携円卓フォーラム  #佐賀 #ESG経営
https://t.co/bCkRBDZhy7",0,0,1301710542394933248,sagasdgsforum,佐賀SDGs官民連携円卓フォーラム,佐賀SDGs官民連携円卓フォーラムの公式アカウントです。Youtubeチャンネルでの更新やSDGsセミナーなどについてつぶやきます。Youtube登録はこちら→　https://t.co/rASKlPA56r,1560,1201,2020-09-04_11:36:04,False,http://pbs.twimg.com/profile_images/1301710770762260480/FrdyXg0H_normal.jpg,,https://t.co/wDsEEmWa1c
1546289885010874370,2022-07-11_09:26:51,㉔8. サステナビリティへの影響は複雑であり、投資家は微妙なアプローチを必要とする。ESGは、食料安全保障と食料生産への持続可能なアプローチの両方を扱う必要があり、場合によっては、複雑な関係を持つこともあります。現在の背景には、食… https://t.co/uIsnS0TY0z,1,0,1486543079200866313,SinichiroM,Shinichiro Mikazuki,"2012年にタイ・バンコクに移住
現在 チェンマイ在住
米谷明",0,154,2022-01-27_12:35:03,False,http://pbs.twimg.com/profile_images/1486543248868855810/wPgRoN-9_normal.png,,
1546289821894602752,2022-07-11_09:26:36,"CREITは、ESGプログラムをさらに強化することを約束した。第22回アジア優良企業投票で、Most Committed to Environmental Stewardship, Most Committed to High G… https://t.co/v7DaTj2ym1",4,0,1091305142912090113,komeao22,🇯🇵森口精🇵🇭,2007年5月からフィリピン暮らし16年目／マカティ在住▶︎ フィリピンで日本語教師6年／NASDAQ上場米国メディア企業に勤め現在9年目▶︎ フィリピン株／VTI長期積立投資▶︎フィリピンで経済的自由を目指す／FIRE達成まであと3年／YouTube配信 Moriguchi Family Vlogs ↓ ↓ ↓,168,911,2019-02-01_20:59:56,False,http://pbs.twimg.com/profile_images/1387619544999424002/9A5mACIv_normal.jpg,,https://t.co/1UsuqiqdeR
1546289409703972864,2022-07-11_09:24:58,"真面目ニュース速報 : 独自集計!こんなに違うSDGs17目標の取り組み度 気候変動の対応率8割超えも､貧困･飢餓支援低迷 | SDGs・ESG | 東洋経済オンライン
https://t.co/sGnWUovtiw",0,0,1054587039734059008,chouruonna,株で兆る女,株で億を稼ぐのではなく兆を目指す,901,1173,2018-10-23_13:15:18,False,http://pbs.twimg.com/profile_images/1054909298755624961/K_o0fxld_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546287847484841987,2022-07-11_09:18:46,"RT @DXQhrNx4HZiFEAy: ウッドショックや、技術がまだ追い付いていなかったりで「緩やか」だったかもしれませんが、今後この広がりは加速度的に広がっていくとともう！いろんな要因の後押しがありますよね！
#木造ビル #ウッドチェンジ #SDGs

緩やかに広がる“ウッ…",0,1,1090150145218424832,weincludedorg,"We, included.","Environment • Society • Economy | Together, we're Reimagining Leadership! Join our #weincluded movement for @theglobalgoals | eMail: hello@weincluded.org",3,5773,2019-01-29_16:30:23,False,http://pbs.twimg.com/profile_images/1311939271427645440/AnDv2GZA_normal.jpg,,https://t.co/obPsymTAhv
1546286977372520448,2022-07-11_09:15:18,ESG・インパクト投資を取り込む観点で、スタートアップにとっても、“インパクト指標”（事業や活動の結果として生じた社会的・環境的効果）の考え方は有益だと思います。 https://t.co/YnpZfOxJtV,0,0,1147837255748186112,KuramotoSakon,蔵元左近 (Sakon Kuramoto)｜弁護士（日本、米国NY州）,ESG/ビジネスと人権+環境・気候変動、VC/Startup、M&A、コンプライアンス分野。 東京オリパラ調達コード通報受付窓口助言委員。JP-MIRAI専門家会合委員、環境省TJインキュベーター、東京都NEXs Tokyoメンター。「ビジネスと人権対話救済機構」設立。🚩RT、いいねは必ずしも賛同を意味しません。,2155,1421,2019-07-07_20:58:22,False,http://pbs.twimg.com/profile_images/1147840177311641600/WJizGgiB_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546286530028654592,2022-07-11_09:13:32,"ウッドショックや、技術がまだ追い付いていなかったりで「緩やか」だったかもしれませんが、今後この広がりは加速度的に広がっていくとともう！いろんな要因の後押しがありますよね！
#木造ビル #ウッドチェンジ #SDGs

緩やかに広がる… https://t.co/FuqIUXmcl8",0,1,1455420767554846724,DXQhrNx4HZiFEAy,建ハブさん@建築・不動産業界のコミュニティを創るひと,【戸建】【マンション】【賃貸住宅】【木造建築】に特化した展示会を主催。業界の人が集まり絡み合う場所を創っています。そしてコミュニケーションの場としてTwitter始めました！業界にとって本当に意味のある場にするために、情報収集や情報発信中！業界の情報収集やコミュニティ作りに興味ある方は是非フォロー・コメントください！,227,73,2021-11-02_15:25:49,False,http://pbs.twimg.com/profile_images/1455420865768685572/xnzXaFQ6_normal.jpg,,https://t.co/9dka9iavKW
1546285683144159232,2022-07-11_09:10:10,グローバル・コンパクト | 日経ESG https://t.co/2Sva218oQv,0,0,848185058372460544,Jinken_Center,公益財団法人 人権教育啓発推進センター,"#人権教育啓発推進センター の公式アカウントです。
人権センターは、人権に関する国際的・国内的動向を踏まえ、人権教育及び啓発等の総合的ナショナルセンターを目指し、人権教育・啓発活動を行う各種団体への支援・連携を図り、広く国民に対する人権に関する情報提供等の活動を行っています。
#人権ライブラリー も併設。",526,1754,2017-04-01_23:47:31,False,http://pbs.twimg.com/profile_images/848216386279059456/QsvHfx5L_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/9xoNdVtXBG
1546285447906992128,2022-07-11_09:09:14,"今はなぜか貿易再編、特に燃料関係の代替や再エネ転換がうまくいく前提
コストがどうなるかも考慮されていない
ESG規制や禁輸・対露保険禁止など本格的に始まるのはこれから、影響がどのくらいになるか現段階では不明(というよるきちんと試算… https://t.co/QXs74FNqAM",1,0,1082795891776352256,pokkurjp,たぬ子♀,トレードできないたぬきはただのたぬきだʕ•ᴥ•ʔ ツイートは覚え書き・自戒・アウトプット・ただの思考ダダ漏れです＼(^o^)／誤字脱字多いです,1058,2753,2019-01-09_09:27:12,False,http://pbs.twimg.com/profile_images/1530162939780808704/u1mZ7Jeq_normal.jpg,,
1546284602439995392,2022-07-11_09:05:52,"RT @SustainableJPN: 【国際】日本消費者の環境意識、10カ国中最低。ボストンコンサルティンググループ調査
https://t.co/y1mMOz6nt3 #ESG #Sustainability #SDGs",0,1,2188488030,CorradoTopi,Corrado Topi,System scientist. Economics and finance for sustainable climate smart policy- and decision-making. Active since 2020. View my own.,566,1612,2013-11-11_23:34:08,False,http://pbs.twimg.com/profile_images/1050765056437309441/NNv1btZ-_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/P05aylObgD
1546284540930543618,2022-07-11_09:05:37,"【国際】日本消費者の環境意識、10カ国中最低。ボストンコンサルティンググループ調査
https://t.co/y1mMOz6nt3 #ESG #Sustainability #SDGs",1,1,2166373754,SustainableJPN,SustainableJapan,サステナビリティ/ESGニュースサイトSustainable Japan公式。編集長・夫馬賢治@KenjiFuma（環境省、厚労省、農水省の委員）『超入門カーボンニュートラル』https://t.co/0KARQaoWnD『ESG思考』https://t.co/fdP3hhANdc『データでわかる2030年地球のすがた』https://t.co/b3tvTAUK5k,41,5091,2013-10-31_18:56:09,False,http://pbs.twimg.com/profile_images/488587881301024768/ulMuq1n2_normal.png,http://abs.twimg.com/images/themes/theme3/bg.gif,https://t.co/9l1G7ZouxP
1546284455689879552,2022-07-11_09:05:17,SHEINが低価格を実現できてる理由についてのESGグローバルヘッドのインタビューを読んだら、生産方式がMVPキャンバスの実践だった,7,0,5574252,grannycloset,grannycloset,ちくわがすき。,1097,2000,2007-04-28_12:06:30,False,http://pbs.twimg.com/profile_images/730788654281428992/r5AP1thQ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/NTHUQPlqOo
1546283746919591936,2022-07-11_09:02:28,"柱や梁などの構造材に木材を使った高層ビルの建設が相次ぐ。輸入木材の価格高騰や円安も、国産材の資源循環を後押ししそうだ。
#気候変動 #生物多様性 #SDGs 

https://t.co/VEckZ2yQxm",2,0,132493891,NikkeiESG,日経ESG,"日経BP社が発行する、持続可能な成長を続けるための経営誌「日経ESG」です
""Nikkei ESG"" is the magazine for sustainable deveropment.
Nikkei Business Publications Inc. (Nikkei BP)
#SDGs #ESG",1548,2156,2010-04-13_20:35:57,False,http://pbs.twimg.com/profile_images/984036291107893249/LNKEdqVr_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/0Y08HnFFhG
1546283459332960256,2022-07-11_09:01:19,"📖新着本📖

💫ESGカオスを超えて 新たな資本市場構築への道標

🔹北川哲雄／編著
🔹2022.5出版
🔹所蔵：1冊
🔹予約：1件🌟
https://t.co/NP0Yb1RFzr
詳細🔽 
https://t.co/JNT7ZwIEF0",0,0,809310584130764800,libchk_koto,新着ﾁｪｯｶｰ📚江東区立図書館,江東区立図書館の新着所蔵図書をお知らせします。(非公式),199,102,2016-12-15_17:14:14,False,http://pbs.twimg.com/profile_images/1456606573154140160/BMDQ-b3H_normal.jpg,,
1546283347709612032,2022-07-11_09:00:53,"【2503】キリンHD 2,223円
【2849】GX高ESG 3,175円
【2854】GXテック20 1,051円
【2918】わらべや 2,209円
【3635】コーエーテクモ 4,700円
【3673】ブロドリーフ 460円
（新高値 07/11 09:00）",0,0,2957858514,NewHigh_bot,新高値bot,年初来高値を更新した銘柄（東証）をツイートします。,5,70939,2015-01-04_11:58:15,False,http://pbs.twimg.com/profile_images/630829072474509312/LgN7Ikc9_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/XtWoSlZjY5
1546283129018654720,2022-07-11_09:00:01,"#脱炭素化 に向けた不動産分野におけるESG-TCFD対応と取組むべきアクション
【JPIセミナー 7月12日(火)開催】 https://t.co/n8SBmMuuLI",0,0,1008983589227134976,Japan_Planning,JPI 日本計画研究所,"JPI 日本計画研究所の公式アカウントです。
JPIは、政・官・民を繋ぐ霞ヶ関・永田町発最新情報をお届けしています。
斯界の実力講師陣を招聘し、リアルなプレミアムセミナーを開催しております。
新着情報をご希望の方は、メールマガジンをご登録ください。
https://t.co/Np1I7HN8z3",572,202,2018-06-19_17:03:28,False,http://pbs.twimg.com/profile_images/1009304409401012225/Cybu88Wf_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,https://t.co/QAO6UdtyXb
1546279597003534337,2022-07-11_08:45:59,【7月11日】サッポロホールディングス、ESG(環境、社会、ガバナンス)に優れた約300銘柄が毎年選定される｢SOMPOサステナビリティ･インデックス｣構成銘柄に11年連続で選定　｢環境保全｣の課題に関して、プラスチック問題への対… https://t.co/k91OEJaYOI,0,0,198390604,gaisyokubiz,外食ドットビズ,"外食産業の活性化を支援するサイト『外食.biz 』です。
サイトをチェックするだけで、ニュースやビジネス情報など、最新かつ質の高い情報を効率よく入手できるように充実を図っております。ぜひご活用ください。ツイッターでは、外食業界の【今日の出来事】を簡潔にお届けしています。",1,2213,2010-10-04_13:49:47,False,http://pbs.twimg.com/profile_images/1215102056/img_logo_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,http://t.co/3arthg2hO7
1546279195009241089,2022-07-11_08:44:23,RT @dpoann: スリランカの経済破綻と国民の半分を貧困に追い込んだ直接的な理由は不適切なESG政策であった。,0,3,864557221,busokuten,まに,世の中を憂しとやさしと思へども飛び立ちかねつ鳥にしあらねば,1554,1183,2012-10-06_20:38:24,False,http://pbs.twimg.com/profile_images/813339687225917441/bkE_njRR_normal.jpg,http://abs.twimg.com/images/themes/theme19/bg.gif,
1546278555428225025,2022-07-11_08:41:50,"今朝食べた朝ごはんは世界の誰かが食べれないもの。
その全てに、ほんの少し寄付が入っていたら世界の飢餓を救う事が出来る大きな支援の力になります。私たちの楽しい #朝ごはん が世界の悲しみを救う社会を創りませんか？協賛頂ける飲食店を募集しています #ESG #SDGs #教育",0,0,1324231296978087936,pay_for_world,Pay for World,私達の楽しみが世界の悲しみを救う事に繋がる🌱そんな社会を作るための活動しています。私達が日常の中で楽しいと思っている物・事・サービスに僅かな寄付が入っていたら世界を救う持続可能な支援の波を作り出せます🌏楽しく生きる事が支援になる社会を作ります。#SDGs #CSR,1366,934,2020-11-05_15:05:30,False,http://pbs.twimg.com/profile_images/1332263460936114177/8F8ZuuPZ_normal.jpg,,https://t.co/ajJt1Siyuj
1546276959671291904,2022-07-11_08:35:30,"マニュの件

https://t.co/aBsPfVcrMD",1,2,1389604015642615812,Epineph_ESG,Epinephrine,,464,593,2021-05-05_00:33:32,False,http://pbs.twimg.com/profile_images/1389636463092846594/DSLQ3WpF_normal.jpg,,
1546276950045790208,2022-07-11_08:35:27,"緩やかに広がる“ウッド・チェンジ”
https://t.co/9OMZRQDzCS",0,0,111736796,kabutomusea,株メモ™,気になる記事を自分用に呟いてます。,424,240,2010-02-06_09:20:35,False,http://pbs.twimg.com/profile_images/1546064014249439232/dBHLmsPL_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,
1546276129866412032,2022-07-11_08:32:12,"地球温暖化防止活動のモリンガ植林プロジェクトの7/9農園の様子です。
まとまった雨があり、雑草に負けず元気に育っています！
#sdge #ESG https://t.co/nye2b05iPD",0,0,1493460642720022528,TakanoriNishij1,共育分科会/TOMOIKU,共育分科会の目標：「世界の多様な人々と小さく早くアクションを起こすことで、創造の種を生み出し、大阪・関西万博までに ”花” を咲かせる」,57,24,2022-02-15_14:42:34,False,http://pbs.twimg.com/profile_images/1493461201548083201/NyKuYXnX_normal.jpg,,
1546272376895193088,2022-07-11_08:17:17,"直接的なネーミングとしては「補完野党」とかですかね。既存の野党がテーマにしてこなかったマイノリティ問題を票田化して掠め取った形なので。

れいわ:障がい者、貧困支援
NHK党:大企業批判
参政党:欧米を含めた外国批判、アンチESG… https://t.co/39iijfz5z7",3,1,1027191026966966273,big_lawfirm,中卒企業法務系弁護士@ガーシーch,自称弁護士。ポエマーを目指しています。コードで法律を表現します。不動産・金融・ベンチャー・株・キャリア。質問箱ーhttps://t.co/FMxq6J2NyK,3636,5355,2018-08-08_22:53:19,False,http://pbs.twimg.com/profile_images/1537541987502538760/7e0FLthY_normal.jpg,,
1546270828253573120,2022-07-11_08:11:08,これからのビジネスや経営にかかせない？ESG・ESG投資ってなに？ – フリーリッチトリガー https://t.co/AE8K30LhlU,1,0,1493338148801159168,freerichtrigger,FreeRichTrigger（フリーリッチトリガー）,フリーリッチトリガー公式ツイッターです。「Free（自由）」と「Rich（経済的な豊かさ）」を掴む「Trigger（引き金・きっかけ）」になって欲しいという想いからできたメディアです。各ライターが副業や投資にチャレンジしています。初心者の方にとって役立つ情報をお届けします。詳しくはブログをご覧下さい。,1,13,2022-02-15_06:35:43,False,http://pbs.twimg.com/profile_images/1493339493977317377/DMSleMLX_normal.jpg,,https://t.co/yUketUC4kP
1546270578641776640,2022-07-11_08:10:08,ESGは脱炭素から自然へ　企業は新たな要求に備えを：日本経済新聞 https://t.co/qFJfjzgQDj,1,0,1156156455113768960,kou81308191,yayo,兼業、株アカ。アニメ好き。#yy_memo_**** #yy_memo_年間上昇率 #yy_memo_market,1100,543,2019-07-30_19:55:54,False,http://pbs.twimg.com/profile_images/1543904605972873216/wN1LaQqe_normal.jpg,,
